strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
13250,30-Sep-2025,13250,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13250.00,144,144,0.0,1286,12.85,101.75,-687.35,-87.10556329996199,7840,10360,140,98.9,280,102.65,13050.1,13250,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13250.00,14,12,600.0,99,15.9,265.0,-143.10000000000002,-35.06493506493507,4480,3920,140,256.4,140,270.4,13050.1
13275,30-Sep-2025,13275,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13275.00,0,0,0.0,0,0.0,0.0,0.0,0.0,2100,5880,420,11.4,280,115.2,13050.1,13275,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13275.00,14,10,250.0,75,15.98,281.4,-202.75,-41.877517298357944,140,2800,140,271.9,140,286.25,13050.1
13300,30-Sep-2025,13300,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13300.00,2509,385,18.12617702448211,9114,12.78,84.05,32.8,63.99999999999999,23380,16660,140,82.0,140,84.85,13050.1,13300,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13300.00,193,162,522.5806451612904,607,16.04,298.0,-141.7,-32.226518080509436,6300,7980,140,291.0,1400,299.9,13050.1
13325,30-Sep-2025,13325,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13325.00,1,0,0.0,0,0.0,0.0,0.0,0.0,3360,2940,140,12.75,140,96.75,13050.1,13325,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13325.00,8,8,0.0,25,16.88,323.8,-232.49999999999994,-41.793996045299295,280,2940,280,91.1,280,392.9,13050.1
13350,30-Sep-2025,13350,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1960,3500,280,16.9,420,91.95,13050.1,13350,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13350.00,0,0,0.0,0,0.0,0.0,0.0,0.0,280,2940,280,103.95,280,419.1,13050.1
13375,30-Sep-2025,13375,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13375.00,0,0,0.0,0,0.0,0.0,0.0,0.0,25480,4060,280,35.05,700,87.3,13050.1,13375,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13375.00,0,0,0.0,0,0.0,0.0,0.0,0.0,280,2940,280,119.3,280,444.9,13050.1
13400,30-Sep-2025,13400,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13400.00,3571,776,27.76386404293381,9315,12.56,54.15,20.85,62.612612612612615,36260,11060,280,54.0,280,55.7,13050.1,13400,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13400.00,502,490,4083.3333333333335,690,15.9,364.5,-137.0,-27.31804586241276,6160,6300,1260,353.15,280,379.9,13050.1
13425,30-Sep-2025,13425,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13425.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1820,3360,280,22.05,420,79.0,13050.1,13425,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13425.00,0,0,0.0,0,0.0,0.0,0.0,0.0,280,2940,280,143.75,2660,495.7,13050.1
13450,30-Sep-2025,13450,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13450.00,0,0,0.0,0,0.0,0.0,0.0,0.0,30240,3500,280,21.05,560,74.6,13050.1,13450,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13450.00,0,0,0.0,0,0.0,0.0,0.0,0.0,2940,2940,280,313.7,280,499.65,13050.1
13475,30-Sep-2025,13475,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13475.00,169,89,111.25,536,12.78,40.6,15.950000000000003,64.70588235294119,15120,3080,280,38.45,420,40.35,13050.1,13475,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13475.00,1,0,0.0,0,0.0,0.0,0.0,0.0,3780,3920,280,344.3,280,595.7,13050.1
13500,30-Sep-2025,13500,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13500.00,6125,1687,38.01261829652997,19865,12.64,35.3,14.049999999999997,66.11764705882351,158340,26040,140,34.1,140,35.3,13050.1,13500,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13500.00,317,8,2.588996763754045,296,17.04,450.0,-139.60000000000002,-23.67706919945726,6020,6720,1120,440.0,140,449.0,13050.1
13525,30-Sep-2025,13525,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13525.00,136,59,76.62337662337663,393,12.77,32.2,12.900000000000002,66.83937823834198,20160,3500,560,30.3,420,32.3,13050.1,13525,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13525.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3360,3780,280,405.3,280,564.8,13050.1
13550,30-Sep-2025,13550,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13550.00,419,340,430.37974683544303,1019,12.8,28.85,12.25,73.79518072289156,18480,7980,560,26.15,140,29.15,13050.1,13550,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13550.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3360,3780,2240,413.9,280,586.2,13050.1
13575,30-Sep-2025,13575,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13575.00,180,94,109.30232558139535,351,12.67,24.7,9.6,63.576158940397356,31640,3920,700,22.65,140,26.45,13050.1,13575,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13575.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3220,3780,2380,427.65,280,618.75,13050.1
13600,30-Sep-2025,13600,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13600.00,0,0,0.0,0,0.0,0.0,0.0,0.0,47460,3220,280,15.2,280,53.35,13050.1,13600,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13600.00,0,0,0.0,0,0.0,0.0,0.0,0.0,2800,2940,280,440.75,280,621.5,13050.1
13625,30-Sep-2025,13625,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13625.00,0,0,0.0,0,0.0,0.0,0.0,0.0,11760,3080,280,9.05,140,50.3,13050.1,13625,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13625.00,0,0,0.0,0,0.0,0.0,0.0,0.0,2940,2940,280,504.2,280,649.05,13050.1
13650,30-Sep-2025,13650,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13650.00,0,0,0.0,0,0.0,0.0,0.0,0.0,29540,2800,280,11.65,140,47.45,13050.1,13650,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13650.00,0,0,0.0,0,0.0,0.0,0.0,0.0,2940,2940,280,523.35,280,699.6,13050.1
13675,30-Sep-2025,13675,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13675.00,96,51,113.33333333333333,239,13.03,16.5,6.449999999999999,64.17910447761193,68320,5180,560,14.3,140,16.4,13050.1,13675,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13675.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3780,3500,280,546.55,2660,684.75,13050.1
